16777472	16778239	14
16777472	16778239	14
16779264	16781311	20
16785408	16793599	20
16842752	16843007	14
16843264	16844799	14
16844800	16859135	20
16908288	16908799	14
16908800	16909055	1
16909312	16910335	14
16910336	16941055	20
16973824	17039359	20
17039616	17040383	14
17040384	17040639	1
17040640	17435135	14
17435392	17436671	14
17436672	17465343	20
17563648	17825791	1
18350080	18874367	7
19726336	19791871	1
19922944	20054015	24
20054016	20119551	29
20119552	20150271	16
20150272	20152319	13
20152320	20185087	16
20447232	20971519	10
21233664	21495807	6
22020096	22544383	27
22544384	23068671	1
28573696	28835839	7
28835840	28901375	390
28901376	28925951	21
28925952	28966911	390
29097984	29360127	10
29360128	29884415	17
30015488	30146559	1
30146560	30408703	24
234881024	234883071	20
234884096	234885119	14
234946560	234947583	14
235929600	236978175	20
241598464	241599487	14
241605632	241606655	2
241631232	241696767	1
241696768	242221055	4
242221056	243269631	20
243400704	243531775	1
243662848	243793919	29
244318208	244383743	20
244383744	244580351	390
244580352	244711423	20
244711424	244842495	390
244842496	244908031	20
244908032	244973567	187
244973568	245366783	20
247479296	247480319	1
247483392	247484415	14
247726080	247857151	1
248250368	248381439	25
248512512	249561087	20
453509120	454033407	4
454033408	455081983	18
455272448	455274495	20
455344128	456130559	20
456271872	456273919	20
456294400	456327167	17
456542208	456544255	20
456562688	456564735	20
456572928	456589311	13
459460608	459464703	1
459464704	459472895	32
459547648	459548671	20
459735040	459800575	390
459964416	459980799	187
459983872	459984895	1
460136448	460144639	1
460324864	460341247	3
460345344	460349439	1
460423168	460439551	2
460521472	460554239	2
460598272	460599295	1
460933120	460935167	20
460945408	460947455	20
461373440	461504511	5
461373440	461504511	370
461626368	461627391	1
462422016	462487551	4
462684160	463470591	14
465043456	465567743	5
465043456	465567743	370
465567744	467664895	16
467664896	467927039	28
603979776	603980799	14
603981824	603983871	2
603983872	603996159	20
603996160	604012543	1
604045312	604110847	1
604241920	604504063	13
605028352	606076927	12
606076928	606339071	13
606339072	606404607	187
606404608	606412799	20
606413824	606414335	14
606414592	606414847	14
606414848	606420991	20
606601216	607125503	27
607125504	607256575	9
607125504	607256575	262
607322112	607387647	1
607649792	608174079	13
610271232	612368383	12
620232704	620494847	14
620625920	620691455	1
654311424	654311679	14
654311936	654313471	14
654313472	654376959	20
658505728	660602879	16
704643072	704644095	14
704645120	704649215	20
704649216	704650239	14
704651264	704659455	20
704675840	704708607	12
704708608	704722943	20
704722944	704723967	14
704741376	704774143	17
704905216	705167359	8
707788800	707919871	19
707919872	707985407	4
707985408	708050943	17
708050944	708575231	8
708739072	708751359	20
708752384	708753407	14
708753408	708755455	20
708771840	708837375	29
709885952	710017023	3
710098944	710103039	20
710103040	710104063	14
710105088	710115327	20
710115328	710148095	1
710148096	710410239	8
710410240	710934527	28
710950912	710961151	20
710962176	710963199	14
710963200	710967295	20
710967296	711000063	1
711000064	711065599	9
711000064	711065599	262
711131136	711159807	20
711159808	711160831	14
711161856	711163903	20
711196672	711458815	10
712507392	712638463	2
712638464	712703999	3
712704000	712712191	20
712713216	712714239	14
712714240	712736767	20
712736768	712769535	4
713031680	714080255	1
714866688	714874879	20
714875904	714876927	14
714876928	714899455	20
714899456	714932223	1
716177408	716701695	8
716701696	716832767	10
716832768	716898303	390
716898304	716929023	20
716929024	716930047	14
716931072	716963839	1
717225984	717357055	2
717357056	717359103	20
717359104	717360127	14
717360128	717361151	1
717361152	717389823	20
717389824	717422591	2
717619200	717627391	18
717815808	717848575	1
717881344	718012415	8
718274560	719323135	1
719323136	720371711	17
720502784	720633855	25
720633856	720895999	11
720896000	721420287	8
822345728	822607871	1
825491456	825753599	2
826277888	828375039	11
829423616	829947903	31
829947904	830078975	18
830078976	830095359	17
830095360	830144511	18
830144512	830156799	19
830156800	830160895	18
830160896	830177279	19
830177280	830210047	18
830472192	830472447	14
830472704	830473215	14
831258624	831336447	9
831258624	831336447	262
831340544	831363071	9
831340544	831363071	262
831373312	831379455	8
832045056	832045311	11
835715072	835780607	27
835780608	835796991	31
835796992	835813375	30
835813376	835846143	27
835846144	835878911	18
836501504	836517887	18
836632576	836648959	18
837287936	837550079	1
837746688	837763071	2
837795840	837812223	20
973996032	974127103	16
974127104	974192639	24
974192640	974225407	15
974225408	974258175	4
974258176	974323711	7
974323712	974347315	18
974347316	974347375	8
974347376	974347625	18
974347626	974347626	8
974347627	974389247	18
974389248	974454783	19
974454784	974520319	9
974454784	974520319	262
974520320	974651391	14
974651392	974782463	2
975044608	975175679	1
975175680	975831039	2
975831040	975896575	24
975896576	975962111	4
975962112	976224255	19
976224256	976362034	18
976362036	976362038	18
976362040	976362041	18
976362043	976362136	18
976362139	976362155	18
976362157	976362180	18
976362182	976748543	18
976748544	976970751	16
976970752	976971007	14
976971008	976977919	16
976977920	977010687	21
977010688	977127423	187
977127424	977272831	390
977397760	977399807	20
977403904	977410559	189
977410560	977412863	23
977412864	977414143	189
977414144	977422335	23
977422336	977422591	189
977422592	977436671	23
977436672	977449727	15
977449728	977450495	23
977450496	977452543	15
977452544	977453055	23
977453056	977453567	15
977453568	977454335	22
977453568	977454335	797
977454336	977456383	15
977456384	977456895	22
977456384	977456895	797
977456896	977457151	15
977457152	977461247	21
977461248	977463295	189
977463296	977465343	390
977465344	977467391	25
977467392	977469439	187
977469440	977477375	21
977477376	977478911	189
977478912	977479167	23
977479168	977485823	189
977485824	977491967	21
977491968	977492223	189
977492224	977493503	21
977493504	977494015	189
977498112	977500159	25
977500160	977502207	15
977502208	977508863	390
977508864	977510399	21
977510400	977510655	13
977518592	977532927	21
978452480	978468863	21
