2603,天纵,4000991130
17276,天纵,4001133100
7546,天纵,撤銷（天縱）
10052,天纵,4008015661
14717,天纵,4008032779
6211,天纵,4008075219
781,天纵,4008075221
27078,天纵,4008075225
9102,天纵,4008167556
11169,天纵,4008167559
10124,电信,4008220041
18738,电信,4008220042
34033,电信,4008220043
10884,电信,4008220045
12276,电信,4008220046
4991,电信,4008220047
5225,电信,4008220048
22044,电信,4008220049
6128,电信,4008220053
5329,电信,4008220054
25247,电信,4008220064
23362,电信,4008220065
10958,电信,4008220067
21440,电信,4008220070
14315,电信,4008220071
13709,电信,4008220072
35680,电信,已撤銷
6112,电信,4008220074
35409,电信,4008220075
32360,电信,4008220083
18235,电信,4008220084
1526,电信,4008220094
20782,电信,4008220095
7003,电信,4008220104
16787,电信,4008220107
25135,电信,4008220124
18623,电信,4008220125
14746,电信,4008220127
27834,电信,4008220129
7981,电信,4008220132
1939,电信,4008220134
1255,电信,4008220135
34436,电信,4008220137
29132,电信,4008220139
26966,电信,4008220140
28850,电信,4008220141
24196,电信,4008220142
35671,电信,4008220143
26080,电信,4008220144
6081,电信,4008220145
26172,电信,4008220146
25667,电信,4008220147
26187,电信,4008220148
26186,电信,4008220149
14429,电信,4008220150
27707,电信,4008220151
27191,电信,4008220152
20439,电信,4008220153
13552,电信,4008220154
13462,电信,4008220156
16322,电信,4008220157
3578,电信,4008220159
26150,电信,4008220161
16233,电信,4008220162
21130,电信,4008220163
2515,电信,4008220164
34732,电信,4008220165
29142,电信,4008220167
13411,电信,4008220170
13409,电信,4008220171
31674,电信,4008220172
6001,电信,4008220173
23506,电信,4008220174
5596,电信,4008220175
11241,电信,4008220176
36497,电信,4008220179
13741,电信,4008220184
17707,电信,4008220185
3118,电信,4008220187
5089,电信,4008220190
21363,电信,4008220191
27893,电信,4008220192
6791,电信,4008220193
10784,电信,4008220194
24329,电信,4008220195
17741,电信,4008220196
27658,电信,4008220197
1875,电信,4008220204
12025,电信,4008220207
7810,电信,4008220209
13677,电信,4008220214
7884,电信,4008220215
26137,电信,4008220217
7836,电信,4008220219
978,电信,4008220231
10552,电信,4008220239
34703,电信,4008220240
25932,电信,4008220241
11492,电信,4008220242
4671,电信,4008220243
14438,电信,4008220244
34536,电信,4008220245
12058,电信,4008220246
23272,电信,4008220247
28008,电信,4008220248
5572,电信,4008220249
30918,电信,4008220250
16571,电信,4008220251
12347,电信,4008220252
18768,电信,4008220253
2624,电信,4008220254
25364,电信,4008220256
10115,电信,4008220257
33419,电信,4008220259
794,电信,4008220261
8047,电信,4008220263
10982,电信,4008220264
8048,电信,4008220265
20888,电信,4008220267
20768,电信,4008220269
8968,电信,4008220270
15907,电信,4008220271
22758,电信,4008220273
10127,电信,4008220274
10523,电信,4008220275
10791,电信,4008220276
6583,电信,4008220277
25456,电信,4008220279
34883,电信,4008220281
34611,电信,4008220282
35224,电信,4008220283
35249,电信,4008220284
21882,电信,4008220290
8382,电信,4008220291
23344,电信,4008220292
1053,电信,4008220293
1801,电信,4008220294
12088,电信,4008220295
19997,电信,4008220296
19901,电信,4008220297
25138,电信,4008220301
25434,电信,4008220302
23801,电信,4008220305
26259,电信,4008220306
18957,电信,4008220307
16575,电信,4008220309
24807,电信,4008220310
2826,电信,4008220312
5903,电信,4008220314
32124,电信,4008220316
5404,电信,4008220317
17339,电信,4008220319
20164,电信,4008220324
70,电信,4008220325
10975,电信,4008220326
17321,电信,4008220327
7835,电信,4008220329
11158,电信,4008220334
21548,电信,4008220335
7940,电信,4008220337
4404,电信,4008220340
22241,电信,4008220341
19733,电信,4008220342
9234,电信,4008220343
21979,电信,4008220344
23785,电信,4008220346
28188,电信,4008220347
18068,电信,4008220348
25245,电信,4008220349
2552,电信,4008220350
7763,电信,4008220352
11813,电信,4008220353
4426,电信,4008220354
658,电信,4008220356
4950,电信,4008220357
27217,电信,4008220358
4932,电信,4008220359
6039,电信,4008220361
14650,电信,4008220362
22697,电信,4008220364
27186,电信,4008220365
2604,电信,4008220367
26995,电信,4008220370
26077,电信,4008220372
27401,电信,4008220374
14055,电信,4008220376
4307,电信,4008220380
9500,电信,4008220381
23879,电信,4008220382
5086,电信,4008220383
21917,电信,4008220384
16590,电信,4008220385
25895,电信,4008220386
14459,电信,4008220389
992,电信,4008220391
14253,电信,4008220392
17193,电信,4008220393
1123,电信,4008220395
1320,电信,4008220396
1342,电信,4008220401
11717,电信,4008220402
11644,电信,4008220403
8065,电信,4008220405
1324,电信,4008220406
1896,电信,4008220407
2764,电信,4008220408
6643,电信,已撤銷
26964,电信,4008220410
27718,电信,4008220411
14842,电信,4008220412
5673,电信,4008220413
26965,电信,4008220414
20569,电信,4008220415
18857,电信,4008220416
22375,电信,已撤銷
20729,电信,4008220418
27311,电信,4008220419
589,电信,4008220420
16130,电信,4008220421
36491,电信,4008220424
34368,电信,4008220425
29236,电信,4008220426
26443,电信,4008220427
20537,电信,4008220428
22528,电信,4008220429
24162,电信,4008220430
7408,电信,4008220431
27638,电信,4008220432
10961,电信,4008220433
12701,电信,4008220434
3938,电信,4008220435
20671,电信,4008220436
